Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,EMI,BalanceIncome
LP001002,Male,No,0,Graduate,No,5849.0,0.0,128.0,360.0,1.0,Urban,Y,5849.0,0.35555555555555557,5493.444444444444
LP001003,Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,N,6091.0,0.35555555555555557,5735.444444444444
LP001005,Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,Y,3000.0,0.18333333333333332,2816.6666666666665
LP001006,Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,0.3333333333333333,4607.666666666667
LP001008,Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,Y,6000.0,0.39166666666666666,5608.333333333333
LP001011,Male,Yes,2,Graduate,Yes,5417.0,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,0.7416666666666667,8871.333333333334
LP001013,Male,Yes,0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,0.2638888888888889,3585.1111111111113
LP001014,Male,Yes,3+,Graduate,No,3036.0,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,0.4388888888888889,5101.111111111111
LP001018,Male,Yes,2,Graduate,No,4006.0,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,0.4666666666666667,5065.333333333333
LP001020,Male,Yes,1,Graduate,No,12841.0,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,0.9694444444444444,22839.555555555555
LP001024,Male,Yes,2,Graduate,No,3200.0,700.0,70.0,360.0,1.0,Urban,Y,3900.0,0.19444444444444445,3705.5555555555557
LP001027,Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,0.30277777777777776,4037.222222222222
LP001028,Male,Yes,2,Graduate,No,3073.0,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,0.5555555555555556,10623.444444444445
LP001029,Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,N,4693.0,0.31666666666666665,4376.333333333333
LP001030,Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,0.14166666666666666,2243.3333333333335
LP001032,Male,No,0,Graduate,No,4950.0,0.0,125.0,360.0,1.0,Urban,Y,4950.0,0.3472222222222222,4602.777777777777
LP001034,Male,No,1,Not Graduate,No,3596.0,0.0,100.0,240.0,1.0,Urban,Y,3596.0,0.4166666666666667,3179.3333333333335
LP001036,Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,N,3510.0,0.2111111111111111,3298.8888888888887
LP001038,Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,N,4887.0,0.36944444444444446,4517.555555555556
LP001041,Male,Yes,0,Graduate,No,2600.0,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,0.3194444444444444,5780.555555555556
LP001043,Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,N,7660.0,0.28888888888888886,7371.111111111111
LP001046,Male,Yes,1,Graduate,No,5955.0,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,0.875,10705.0
LP001047,Male,Yes,0,Not Graduate,No,2600.0,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,0.32222222222222224,4188.777777777777
LP001050,Male,Yes,2,Not Graduate,No,3365.0,1917.0,112.0,360.0,0.0,Rural,N,5282.0,0.3111111111111111,4970.888888888889
LP001052,Male,Yes,1,Graduate,No,3717.0,2925.0,151.0,360.0,1.0,Semiurban,N,6642.0,0.41944444444444445,6222.555555555556
LP001066,Male,Yes,0,Graduate,Yes,9560.0,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,0.5305555555555556,9029.444444444445
LP001068,Male,Yes,0,Graduate,No,2799.0,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,0.3388888888888889,4713.111111111111
LP001073,Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,0.3055555555555556,4960.444444444444
LP001086,Male,No,0,Not Graduate,No,1442.0,0.0,35.0,360.0,1.0,Urban,N,1442.0,0.09722222222222222,1344.7777777777778
LP001087,Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,0.3333333333333333,5499.666666666667
LP001091,Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,1.0,Urban,N,7535.0,0.5583333333333333,6976.666666666667
LP001095,Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,N,3167.0,0.20555555555555555,2961.4444444444443
LP001097,Male,No,1,Graduate,Yes,4692.0,0.0,106.0,360.0,1.0,Rural,N,4692.0,0.29444444444444445,4397.555555555556
LP001098,Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,0.31666666666666665,4850.333333333333
LP001100,Male,No,3+,Graduate,No,12500.0,3000.0,320.0,360.0,1.0,Rural,N,15500.0,0.8888888888888888,14611.111111111111
LP001106,Male,Yes,0,Graduate,No,2275.0,2067.0,128.0,360.0,1.0,Urban,Y,4342.0,0.35555555555555557,3986.4444444444443
LP001109,Male,Yes,0,Graduate,No,1828.0,1330.0,100.0,360.0,0.0,Urban,N,3158.0,0.2777777777777778,2880.222222222222
LP001112,Female,Yes,0,Graduate,No,3667.0,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,0.4,4726.0
LP001114,Male,No,0,Graduate,No,4166.0,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,0.5111111111111111,10864.888888888889
LP001116,Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,0.3055555555555556,5110.444444444444
LP001119,Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,N,3600.0,0.2222222222222222,3377.777777777778
LP001120,Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,0.13055555555555556,2882.4444444444443
LP001123,Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,1.0,Urban,Y,2400.0,0.20833333333333334,2191.6666666666665
LP001131,Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,0.37222222222222223,5904.777777777777
LP001136,Male,Yes,0,Not Graduate,Yes,4695.0,0.0,96.0,360.0,1.0,Urban,Y,4695.0,0.26666666666666666,4428.333333333333
LP001137,Female,No,0,Graduate,No,3410.0,0.0,88.0,360.0,1.0,Urban,Y,3410.0,0.24444444444444444,3165.5555555555557
LP001138,Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1.0,Urban,Y,5649.0,0.12222222222222222,5526.777777777777
LP001144,Male,Yes,0,Graduate,No,5821.0,0.0,144.0,360.0,1.0,Urban,Y,5821.0,0.4,5421.0
LP001146,Female,Yes,0,Graduate,No,2645.0,3440.0,120.0,360.0,0.0,Urban,N,6085.0,0.3333333333333333,5751.666666666667
LP001151,Female,No,0,Graduate,No,4000.0,2275.0,144.0,360.0,1.0,Semiurban,Y,6275.0,0.4,5875.0
LP001155,Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1.0,Semiurban,Y,3572.0,0.2777777777777778,3294.222222222222
LP001157,Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1.0,Semiurban,Y,3086.0,0.3333333333333333,2752.6666666666665
LP001164,Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,N,4230.0,0.3111111111111111,3918.8888888888887
LP001179,Male,Yes,2,Graduate,No,4616.0,0.0,134.0,360.0,1.0,Urban,N,4616.0,0.37222222222222223,4243.777777777777
LP001186,Female,Yes,1,Graduate,Yes,11500.0,0.0,286.0,360.0,0.0,Urban,N,11500.0,0.7944444444444444,10705.555555555555
LP001194,Male,Yes,2,Graduate,No,2708.0,1167.0,97.0,360.0,1.0,Semiurban,Y,3875.0,0.26944444444444443,3605.5555555555557
LP001195,Male,Yes,0,Graduate,No,2132.0,1591.0,96.0,360.0,1.0,Semiurban,Y,3723.0,0.26666666666666666,3456.3333333333335
LP001197,Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,Rural,N,5566.0,0.375,5191.0
LP001198,Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1.0,Urban,Y,10330.0,0.5,9830.0
LP001199,Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1.0,Urban,Y,6216.0,0.4,5816.0
LP001205,Male,Yes,0,Graduate,No,2500.0,3796.0,120.0,360.0,1.0,Urban,Y,6296.0,0.3333333333333333,5962.666666666667
LP001206,Male,Yes,3+,Graduate,No,3029.0,0.0,99.0,360.0,1.0,Urban,Y,3029.0,0.275,2754.0
LP001207,Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,N,6058.0,0.9166666666666666,5141.333333333333
LP001213,Male,Yes,1,Graduate,No,4945.0,0.0,128.0,360.0,0.0,Rural,N,4945.0,0.35555555555555557,4589.444444444444
LP001222,Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0.0,Semiurban,N,4166.0,0.32222222222222224,3843.777777777778
LP001225,Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1.0,Semiurban,N,10321.0,0.7166666666666667,9604.333333333334
LP001228,Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,0.0,Urban,N,5454.0,0.7,4754.0
LP001233,Male,Yes,1,Graduate,No,10750.0,0.0,312.0,360.0,1.0,Urban,Y,10750.0,0.8666666666666667,9883.333333333334
LP001238,Male,Yes,3+,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1.0,Urban,Y,7100.0,2.0833333333333335,5016.666666666666
LP001241,Female,No,0,Graduate,No,4300.0,0.0,136.0,360.0,0.0,Semiurban,N,4300.0,0.37777777777777777,3922.222222222222
LP001243,Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1.0,Urban,Y,6274.0,0.4777777777777778,5796.222222222223
LP001245,Male,Yes,2,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1.0,Semiurban,Y,3750.0,0.26944444444444443,3480.5555555555557
LP001248,Male,No,0,Graduate,No,3500.0,0.0,81.0,300.0,1.0,Semiurban,Y,3500.0,0.27,3230.0
LP001250,Male,Yes,3+,Not Graduate,No,4755.0,0.0,95.0,360.0,0.0,Semiurban,N,4755.0,0.2638888888888889,4491.111111111111
LP001253,Male,Yes,3+,Graduate,Yes,5266.0,1774.0,187.0,360.0,1.0,Semiurban,Y,7040.0,0.5194444444444445,6520.555555555556
LP001255,Male,No,0,Graduate,No,3750.0,0.0,113.0,480.0,1.0,Urban,N,3750.0,0.23541666666666666,3514.5833333333335
LP001256,Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1.0,Urban,N,8500.0,0.4888888888888889,8011.111111111111
LP001259,Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,N,4022.0,0.3055555555555556,3716.4444444444443
LP001263,Male,Yes,3+,Graduate,No,3167.0,4000.0,180.0,300.0,0.0,Semiurban,N,7167.0,0.6,6567.0
LP001264,Male,Yes,3+,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,1.0,Semiurban,Y,5499.0,0.3611111111111111,5137.888888888889
LP001265,Female,No,0,Graduate,No,3846.0,0.0,111.0,360.0,1.0,Semiurban,Y,3846.0,0.30833333333333335,3537.6666666666665
LP001266,Male,Yes,1,Graduate,Yes,2395.0,0.0,128.0,360.0,1.0,Semiurban,Y,2395.0,0.35555555555555557,2039.4444444444443
LP001267,Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1.0,Urban,N,3259.0,0.4638888888888889,2795.1111111111113
LP001273,Male,Yes,0,Graduate,No,6000.0,2250.0,265.0,360.0,1.0,Semiurban,N,8250.0,0.7361111111111112,7513.888888888889
LP001275,Male,Yes,1,Graduate,No,3988.0,0.0,50.0,240.0,1.0,Urban,Y,3988.0,0.20833333333333334,3779.6666666666665
LP001279,Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1.0,Semiurban,Y,4897.0,0.37777777777777777,4519.222222222223
LP001280,Male,Yes,2,Not Graduate,No,3333.0,2000.0,99.0,360.0,1.0,Semiurban,Y,5333.0,0.275,5058.0
LP001282,Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1.0,Semiurban,Y,4618.0,0.28888888888888886,4329.111111111111
LP001289,Male,No,0,Graduate,No,8566.0,0.0,210.0,360.0,1.0,Urban,Y,8566.0,0.5833333333333334,7982.666666666667
LP001310,Male,Yes,0,Graduate,No,5695.0,4167.0,175.0,360.0,1.0,Semiurban,Y,9862.0,0.4861111111111111,9375.888888888889
LP001316,Male,Yes,0,Graduate,No,2958.0,2900.0,131.0,360.0,1.0,Semiurban,Y,5858.0,0.3638888888888889,5494.111111111111
LP001318,Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1.0,Semiurban,Y,11904.0,1.0444444444444445,10859.555555555555
LP001319,Male,Yes,2,Not Graduate,No,3273.0,1820.0,81.0,360.0,1.0,Urban,Y,5093.0,0.225,4868.0
LP001322,Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,Y,4133.0,0.3388888888888889,3794.1111111111113
LP001325,Male,No,0,Not Graduate,No,3620.0,0.0,25.0,120.0,1.0,Semiurban,Y,3620.0,0.20833333333333334,3411.6666666666665
LP001326,Male,No,0,Graduate,No,6782.0,0.0,128.0,360.0,1.0,Urban,N,6782.0,0.35555555555555557,6426.444444444444
LP001327,Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,360.0,1.0,Semiurban,Y,4786.0,0.38055555555555554,4405.444444444444
LP001333,Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1.0,Semiurban,Y,2974.0,0.1388888888888889,2835.1111111111113
LP001334,Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1.0,Semiurban,Y,4188.0,0.6388888888888888,3549.1111111111113
LP001343,Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1.0,Semiurban,Y,5300.0,0.3638888888888889,4936.111111111111
LP001345,Male,Yes,2,Not Graduate,No,4288.0,3263.0,133.0,180.0,1.0,Urban,Y,7551.0,0.7388888888888889,6812.111111111111
LP001349,Male,No,0,Graduate,No,4843.0,3806.0,151.0,360.0,1.0,Semiurban,Y,8649.0,0.41944444444444445,8229.555555555555
LP001350,Male,Yes,0,Graduate,No,13650.0,0.0,128.0,360.0,1.0,Urban,Y,13650.0,0.35555555555555557,13294.444444444445
LP001356,Male,Yes,0,Graduate,No,4652.0,3583.0,128.0,360.0,1.0,Semiurban,Y,8235.0,0.35555555555555557,7879.444444444444
LP001357,Male,Yes,0,Graduate,No,3816.0,754.0,160.0,360.0,1.0,Urban,Y,4570.0,0.4444444444444444,4125.555555555556
LP001367,Male,Yes,1,Graduate,No,3052.0,1030.0,100.0,360.0,1.0,Urban,Y,4082.0,0.2777777777777778,3804.222222222222
LP001369,Male,Yes,2,Graduate,No,11417.0,1126.0,225.0,360.0,1.0,Urban,Y,12543.0,0.625,11918.0
LP001370,Male,No,0,Not Graduate,No,7333.0,0.0,120.0,360.0,1.0,Rural,N,7333.0,0.3333333333333333,6999.666666666667
LP001379,Male,Yes,2,Graduate,No,3800.0,3600.0,216.0,360.0,0.0,Urban,N,7400.0,0.6,6800.0
LP001384,Male,Yes,3+,Not Graduate,No,2071.0,754.0,94.0,480.0,1.0,Semiurban,Y,2825.0,0.19583333333333333,2629.1666666666665
LP001385,Male,No,0,Graduate,No,5316.0,0.0,136.0,360.0,1.0,Urban,Y,5316.0,0.37777777777777777,4938.222222222223
LP001387,Female,Yes,0,Graduate,No,2929.0,2333.0,139.0,360.0,1.0,Semiurban,Y,5262.0,0.3861111111111111,4875.888888888889
LP001391,Male,Yes,0,Not Graduate,No,3572.0,4114.0,152.0,360.0,0.0,Rural,N,7686.0,0.4222222222222222,7263.777777777777
LP001392,Female,No,1,Graduate,Yes,7451.0,0.0,128.0,360.0,1.0,Semiurban,Y,7451.0,0.35555555555555557,7095.444444444444
LP001398,Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,Y,5050.0,0.3277777777777778,4722.222222222223
LP001401,Male,Yes,1,Graduate,No,14583.0,0.0,185.0,180.0,1.0,Rural,Y,14583.0,1.0277777777777777,13555.222222222223
LP001404,Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1.0,Semiurban,Y,5450.0,0.42777777777777776,5022.222222222223
LP001405,Male,Yes,1,Graduate,No,2214.0,1398.0,85.0,360.0,1.0,Urban,Y,3612.0,0.2361111111111111,3375.8888888888887
LP001421,Male,Yes,0,Graduate,No,5568.0,2142.0,175.0,360.0,1.0,Rural,N,7710.0,0.4861111111111111,7223.888888888889
LP001422,Female,No,0,Graduate,No,10408.0,0.0,259.0,360.0,1.0,Urban,Y,10408.0,0.7194444444444444,9688.555555555555
LP001426,Male,Yes,0,Graduate,No,5667.0,2667.0,180.0,360.0,1.0,Rural,Y,8334.0,0.5,7834.0
LP001430,Female,No,0,Graduate,No,4166.0,0.0,44.0,360.0,1.0,Semiurban,Y,4166.0,0.12222222222222222,4043.777777777778
LP001431,Female,No,0,Graduate,No,2137.0,8980.0,137.0,360.0,0.0,Semiurban,Y,11117.0,0.38055555555555554,10736.444444444445
LP001432,Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1.0,Semiurban,Y,2957.0,0.225,2732.0
LP001439,Male,Yes,0,Not Graduate,No,4300.0,2014.0,194.0,360.0,1.0,Rural,Y,6314.0,0.5388888888888889,5775.111111111111
LP001443,Female,No,0,Graduate,No,3692.0,0.0,93.0,360.0,1.0,Rural,Y,3692.0,0.25833333333333336,3433.6666666666665
LP001448,Male,Yes,3+,Graduate,No,23803.0,0.0,370.0,360.0,1.0,Rural,Y,23803.0,1.0277777777777777,22775.222222222223
LP001449,Male,No,0,Graduate,No,3865.0,1640.0,128.0,360.0,1.0,Rural,Y,5505.0,0.35555555555555557,5149.444444444444
LP001451,Male,Yes,1,Graduate,Yes,10513.0,3850.0,160.0,180.0,0.0,Urban,N,14363.0,0.8888888888888888,13474.111111111111
LP001465,Male,Yes,0,Graduate,No,6080.0,2569.0,182.0,360.0,1.0,Rural,N,8649.0,0.5055555555555555,8143.444444444444
LP001469,Male,No,0,Graduate,Yes,20166.0,0.0,650.0,480.0,1.0,Urban,Y,20166.0,1.3541666666666667,18811.833333333332
LP001473,Male,No,0,Graduate,No,2014.0,1929.0,74.0,360.0,1.0,Urban,Y,3943.0,0.20555555555555555,3737.4444444444443
LP001478,Male,No,0,Graduate,No,2718.0,0.0,70.0,360.0,1.0,Semiurban,Y,2718.0,0.19444444444444445,2523.5555555555557
LP001482,Male,Yes,0,Graduate,Yes,3459.0,0.0,25.0,120.0,1.0,Semiurban,Y,3459.0,0.20833333333333334,3250.6666666666665
LP001487,Male,No,0,Graduate,No,4895.0,0.0,102.0,360.0,1.0,Semiurban,Y,4895.0,0.2833333333333333,4611.666666666667
LP001488,Male,Yes,3+,Graduate,No,4000.0,7750.0,290.0,360.0,1.0,Semiurban,N,11750.0,0.8055555555555556,10944.444444444445
LP001489,Female,Yes,0,Graduate,No,4583.0,0.0,84.0,360.0,1.0,Rural,N,4583.0,0.23333333333333334,4349.666666666667
LP001491,Male,Yes,2,Graduate,Yes,3316.0,3500.0,88.0,360.0,1.0,Urban,Y,6816.0,0.24444444444444444,6571.555555555556
LP001492,Male,No,0,Graduate,No,14999.0,0.0,242.0,360.0,0.0,Semiurban,N,14999.0,0.6722222222222223,14326.777777777777
LP001493,Male,Yes,2,Not Graduate,No,4200.0,1430.0,129.0,360.0,1.0,Rural,N,5630.0,0.35833333333333334,5271.666666666667
LP001497,Male,Yes,2,Graduate,No,5042.0,2083.0,185.0,360.0,1.0,Rural,N,7125.0,0.5138888888888888,6611.111111111111
LP001498,Male,No,0,Graduate,No,5417.0,0.0,168.0,360.0,1.0,Urban,Y,5417.0,0.4666666666666667,4950.333333333333
LP001504,Male,No,0,Graduate,Yes,6950.0,0.0,175.0,180.0,1.0,Semiurban,Y,6950.0,0.9722222222222222,5977.777777777777
LP001507,Male,Yes,0,Graduate,No,2698.0,2034.0,122.0,360.0,1.0,Semiurban,Y,4732.0,0.3388888888888889,4393.111111111111
LP001508,Male,Yes,2,Graduate,No,11757.0,0.0,187.0,180.0,1.0,Urban,Y,11757.0,1.038888888888889,10718.111111111111
LP001514,Female,Yes,0,Graduate,No,2330.0,4486.0,100.0,360.0,1.0,Semiurban,Y,6816.0,0.2777777777777778,6538.222222222223
LP001516,Female,Yes,2,Graduate,No,14866.0,0.0,70.0,360.0,1.0,Urban,Y,14866.0,0.19444444444444445,14671.555555555555
LP001518,Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1.0,Urban,Y,2963.0,0.08333333333333333,2879.6666666666665
LP001519,Female,No,0,Graduate,No,10000.0,1666.0,225.0,360.0,1.0,Rural,N,11666.0,0.625,11041.0
LP001520,Male,Yes,0,Graduate,No,4860.0,830.0,125.0,360.0,1.0,Semiurban,Y,5690.0,0.3472222222222222,5342.777777777777
LP001528,Male,No,0,Graduate,No,6277.0,0.0,118.0,360.0,0.0,Rural,N,6277.0,0.3277777777777778,5949.222222222223
